country	institution	id	group	country_cd
Egypt	Misr International University	1c10937ff8c3a38f9034ac7bec7ab624	PostDoc	code_2
Nepal	Department of Food Technology and Quality Control	aa4dda4ca74fee03148d9dd9d031c7d6	PhD	code_4
Czechia	SCIA (Czechia)	d6b9d545a953614972b9fe50888a8453	PostDoc	code_2
Norway	Onsite Treatment Technologies (Norway)	dbbe9d574da5f7c62c5ac1312b420e08	PhD	code_4
France	Groupe Francophone des Myélodysplasies	6307448bc3e1e9b95bcc4bfda31de861	PostDoc	code_2
Australia	National Breast Cancer Foundation	c16cc48ec240acbddbdb15cc0d8ca6b2	prof	code_1
Germany	Asklepios Klinikum Harburg	129b048109c45f68fee5d7f3a156820f	prof	code_2
Netherlands	Federatie Medisch Specialisten	3b0c9b10b5ba47fc0fc0e9a1c64dc0d3	assistant_prof	code_4
Germany	Sachtleben (Germany)	5c97aaf4a47e5675972eb2a8cb062399	PhD	code_2
Italy	Piedmont Reference Center for Epidemiology and Cancer Prevention	88f8720243a9e1112bba9a6f3f15d3ec	prof	code_3
Canada	Yukon University	f41b1efeed593f53f05f5d1d3d92610d	PhD	code_1
Switzerland	Children's Oncology Group	5ac45f492b6fccf160e812c946f6b11c	PhD	code_5
China	International Transport Information Systems (China)	ceef99e3f16409a0d09eb344873ec57b	PostDoc	code_1
Argentina	Red Argentina de Instituciones de Microcrédito	425f11f37d7fa09a585d1d37b04a6545	PhD	code_1
Germany	Herrenknecht (Germany)	eb480e8b59ed9c65f79a070b508eccab	prof	code_2
France	Chemineau Labs (France)	a5bd12f1cf5f4f3369376e7e7c449623	prof	code_2
Germany	Kinderklinik Regensburg	bd9686a420c87326f56b90430abaf0bc	PostDoc	code_2
Netherlands	ELEQ (Netherlands)	f3bc6862e4e31c4a46a1c6f22db00dca	PostDoc	code_4
Australia	Association for Tertiary Education Management	51ffb33e80307b9c010d037cc581a3a9	prof	code_1
Austria	Verlag Holzhausen (Austria)	48e5c662b98455f04e7efd7efae0e5e9	PostDoc	code_1
Italy	Eisai (Italy)	6c7da072f6e3b4d24fab30d669621c8e	assistant_prof	code_3
China	Key Laboratory of Chemistry for Natural Products of Guizhou Province and Chinese Academy of Sciences	1f7b6e484c2a5be7e2250af6f59a415d	PhD	code_1
India	International Centre for Theoretical Sciences	f19147b4e051bf2b425ab5673d926de3	prof	code_3
Brazil	Ponta Grossa State University	8953588adcbdbdd091943707a1755d07	PostDoc	code_1
United Kingdom of Great Britain and Northern Ireland	Glyndwr Innovations (United Kingdom)	fee0256a39946d20facf026d94e50875	PostDoc	code_5
Egypt	Future University in Egypt	ad9a41805048c517bf7fd8c4da2d9886	PostDoc	code_2
France	Missions Publiques	95ef63154a83833734da7f06fd25d3f2	PostDoc	code_2
South Africa	South African National AIDS Council	1f43b646850e07fa5295505bae8313c3	assistant_prof	code_5
United Kingdom of Great Britain and Northern Ireland	Sport Wales	8a9f817292e4bbaef2e59a4b33d48736	prof	code_5
Switzerland	Veterinary Anaesthesia Services (Switzerland)	b83e4f07bab7365119ad4897a3315fa3	PostDoc	code_5
United Kingdom of Great Britain and Northern Ireland	Newport Museum and Art Gallery	313d09094b4d70b927b1e9d9e77d7e5d	prof	code_5
Czechia	HPH (Czechia)	84d4795bbfb5f591a121868f6812c087	assistant_prof	code_2
United Kingdom of Great Britain and Northern Ireland	Eight19 (United Kingdom)	9c6d7c6ac0c060c4444decb5ccaa72ba	prof	code_5
China	Jinzhou Kangning Hospital	58ed0b2966cc7101ab01731287cde6e5	prof	code_1
